problem,formulator,breaker,solver,parent_problem,status,cpu_usage_avg,cpu_usage_max,memory_peak_mb,time,cpu_time,total_time,exit_code,conversion_time,conversion_cpu_time,conversion_memory_mb,break_time,break_cpu_time,break_memory_mb,cores_used,restarts,conflicts,decisions,propagations,nodes,iterations,objective,error,stderr
hamilton_without_converter,,None,Glucose,hamilton_without_converter,SAT,89.9818181818182,105.3,47.26953125,1.6833684819939663,1.55,1.6833684819939663,10,0.0,0.0,0.0,0.0,0.0,0.0,[0],6,16761,51602,542547,,,,,WARNING! DIMACS header mismatch: wrong number of variables.
hamilton_without_converter,,None,cadical_cmd,hamilton_without_converter,SAT,81.05000000000001,103.6,60.87890625,0.778577671997482,0.65,0.778577671997482,10,0.0,0.0,0.0,0.0,0.0,0.0,[0],33,5684,15172,1159911,,,,,
hamilton_2,hamilton_SAT,breakid,isasat,hamilton_2,TIMEOUT,98.42549019607844,172.0,71.40625,7.466801455004315,7.29,10.556122138004866,-1,0.43166958000074374,0.31000000000000005,66.66015625,2.6576511029998073,2.4,166.92578125,[2],,,,,,,,Process killed due to timeout.,
hamilton_2,hamilton_SAT,breakid,yalsat,hamilton_2,TIMEOUT,97.67678571428577,107.9,12.53125,6.840379865003342,6.68,10.489326665003318,-1,0.43166958000074374,0.31000000000000005,66.66015625,3.2172772199992323,2.6,166.82421875,[1],,,,,,,,Process killed due to timeout.,
hamilton_2,hamilton_SAT,breakid,Glucose,hamilton_2,TIMEOUT,97.67192982456137,108.6,68.34765625,7.0610894999990705,6.7700000000000005,10.637763341001119,-1,0.43166958000074374,0.31000000000000005,66.66015625,3.1450042610013043,2.6300000000000003,166.94140625,[5],,,,,,,,Process killed due to timeout.,
hamilton_2,hamilton_SAT,breakid,kissat_cmd,hamilton_2,TIMEOUT,97.5421052631579,112.6,17.03125,7.046695352997631,6.74,10.623342614002468,-1,0.43166958000074374,0.31000000000000005,66.66015625,3.144977681004093,2.64,166.796875,[3],,,,,,,,Process killed due to timeout.,
hamilton_2,hamilton_SAT,breakid,cadical_cmd,hamilton_2,TIMEOUT,97.5910714285714,107.8,57.55859375,7.072096215000784,6.779999999999999,10.650061290994927,-1,0.43166958000074374,0.31000000000000005,66.66015625,3.1462954959933995,2.66,166.92578125,[4],,,,,,,,Process killed due to timeout.,
hamilton_without_converter,,None,yalsat,hamilton_without_converter,SAT,82.21666666666667,102.0,34.421875,0.6566560360006406,0.54,0.6566560360006406,10,0.0,0.0,0.0,0.0,0.0,0.0,[1],,,,,,,,,
hamilton_without_converter,,None,isasat,hamilton_without_converter,SAT,92.93846153846154,115.7,51.64453125,1.6845023689966183,1.43,1.6845023689966183,10,0.0,0.0,0.0,0.0,0.0,0.0,[2],,,,,,,,,
hamilton_without_converter,,None,kissat_cmd,hamilton_without_converter,TIMEOUT,100.85,193.7,38.109375,10.082033349004632,9.91,10.082033349004632,-1,0.0,0.0,0.0,0.0,0.0,0.0,[0],,,,,,,,Process killed due to timeout.,
